disaster_type,date,created_at,word,count
earthquake,2021-08-15,2021-08-15 09:32:00,&amp;,7
earthquake,2021-08-15,2021-08-15 09:32:00,2010,3
earthquake,2021-08-15,2021-08-15 09:32:00,addresses,6
earthquake,2021-08-15,2021-08-15 09:32:00,another,3
earthquake,2021-08-15,2021-08-15 09:32:00,assist,3
earthquake,2021-08-15,2021-08-15 09:32:00,assistance.,6
earthquake,2021-08-15,2021-08-15 09:32:00,bitcoin,6
earthquake,2021-08-15,2021-08-15 09:32:00,bscgems,6
earthquake,2021-08-15,2021-08-15 09:32:00,care,6
earthquake,2021-08-15,2021-08-15 09:32:00,charity,12
earthquake,2021-08-15,2021-08-15 09:32:00,coast,3
earthquake,2021-08-15,2021-08-15 09:32:00,country,4
earthquake,2021-08-15,2021-08-15 09:32:00,cross,3
earthquake,2021-08-15,2021-08-15 09:32:00,dead,3
earthquake,2021-08-15,2021-08-15 09:32:00,deadly,3
earthquake,2021-08-15,2021-08-15 09:32:00,dedicating,6
earthquake,2021-08-15,2021-08-15 09:32:00,devastated,3
earthquake,2021-08-15,2021-08-15 09:32:00,donate,7
earthquake,2021-08-15,2021-08-15 09:32:00,donations,8
earthquake,2021-08-15,2021-08-15 09:32:00,earthquake,31
earthquake,2021-08-15,2021-08-15 09:32:00,earthquakehaiti,6
earthquake,2021-08-15,2021-08-15 09:32:00,haiti,36
earthquake,2021-08-15,2021-08-15 09:32:00,haiti.,3
earthquake,2021-08-15,2021-08-15 09:32:00,help,8
earthquake,2021-08-15,2021-08-15 09:32:00,injuring,3
earthquake,2021-08-15,2021-08-15 09:32:00,kichicoin,6
earthquake,2021-08-15,2021-08-15 09:32:00,killing,3
earthquake,2021-08-15,2021-08-15 09:32:00,least,4
earthquake,2021-08-15,2021-08-15 09:32:00,magnitude,11
earthquake,2021-08-15,2021-08-15 09:32:00,need,6
earthquake,2021-08-15,2021-08-15 09:32:00,news,3
earthquake,2021-08-15,2021-08-15 09:32:00,people,11
earthquake,2021-08-15,2021-08-15 09:32:00,relief,6
earthquake,2021-08-15,2021-08-15 09:32:00,relief.,6
earthquake,2021-08-15,2021-08-15 09:32:00,reply,6
earthquake,2021-08-15,2021-08-15 09:32:00,storm,3
earthquake,2021-08-15,2021-08-15 09:32:00,strong,3
earthquake,2021-08-15,2021-08-15 09:32:00,struck,10
earthquake,2021-08-15,2021-08-15 09:32:00,taiwan,4
earthquake,2021-08-15,2021-08-15 09:32:00,towards,6
earthquake,2021-08-15,2021-08-15 09:32:00,urgent,7
earthquake,2021-08-15,2021-08-15 09:32:00,wallet,12
earthquake,2021-08-15,2021-08-15 09:33:00,&amp;,5
earthquake,2021-08-15,2021-08-15 09:33:00,2010,4
earthquake,2021-08-15,2021-08-15 09:33:00,addresses,4
earthquake,2021-08-15,2021-08-15 09:33:00,another,3
